translator_dim.translator_key,translator_dim.translator_id,translator_dim.translator_name,translator_dim.translator_addr,translator_dim.mobile,translator_dim.phone,translator_dim.ordering,translator_dim.status,translator_dim.created_time,translator_dim.created_by,translator_dim.updated_time,translator_dim.updated_by,translator_dim.cmc_id,translator_dim.valid_from,translator_dim.valid_to,translator_dim.version,translator_dim.current,translator_dim.last_mofidied
152,295,Nguyên Diệu - Phạm Trang,N/A,N/A,N/A,0,ACT,2016-03-21 17:59:19.0,1,2016-03-21 17:59:19.0,1,295,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
153,302,Vũ Thị Hà,N/A,N/A,N/A,0,ACT,2016-03-21 17:59:19.0,1,2016-03-21 17:59:19.0,1,302,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
154,310,Tạ Thu Hà,N/A,N/A,N/A,0,ACT,2016-03-21 17:59:19.0,1,2016-03-21 17:59:19.0,1,310,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
155,371,Quỳnh Chi,N/A,N/A,N/A,0,ACT,2016-03-22 08:41:09.0,4,2016-03-22 08:41:09.0,4,371,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
156,380,Anh Thư,N/A,N/A,N/A,0,ACT,2016-03-22 10:22:53.0,4,2016-03-22 10:22:53.0,4,380,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
157,386,Nguyễn Phương Hùng,N/A,N/A,N/A,0,ACT,2016-03-22 13:48:02.0,4,2016-03-22 13:48:02.0,4,386,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
158,400,Huyền Trang,N/A,N/A,N/A,0,ACT,2016-03-22 14:40:37.0,4,2016-03-22 14:40:37.0,4,400,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
159,412,Nguyễn Kiến Giang,N/A,N/A,N/A,0,ACT,2016-03-23 10:35:39.0,4,2016-03-23 10:35:39.0,4,412,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
160,419,Anh Toàn,N/A,N/A,N/A,0,ACT,2016-03-23 13:59:06.0,4,2016-03-23 13:59:06.0,4,419,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
161,428,Bảo Trần,N/A,N/A,N/A,0,ACT,2016-03-25 09:16:21.0,119,2016-03-25 09:16:21.0,119,428,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
162,434,Hoàng Oanh,N/A,N/A,N/A,0,ACT,2016-03-25 09:30:15.0,119,2016-03-25 09:30:15.0,119,434,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
163,316,Trần Trọng Sâm,N/A,N/A,N/A,0,ACT,2016-04-06 15:09:46.0,1,2016-04-06 15:09:35.0,1,316,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:29.0
164,323,Vũ Thái Hà & Lê Hoài Ân,N/A,N/A,N/A,0,ACT,2016-04-06 15:09:53.0,1,2016-04-06 15:09:42.0,1,323,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:30.0
165,447,Minh Trâm,N/A,N/A,N/A,0,ACT,2016-05-13 13:56:31.0,4,2016-05-13 13:56:31.0,4,447,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:32.0
166,440,Khánh Toàn,N/A,N/A,N/A,0,ACT,2016-05-12 15:29:57.0,4,2016-05-12 15:29:57.0,4,440,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:32.0
167,443,Hồng Hạnh,N/A,N/A,N/A,0,ACT,2016-05-12 15:30:09.0,4,2016-05-12 15:30:09.0,4,443,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:28.0
168,450,Nguyễn Tuệ Đan,N/A,N/A,N/A,0,ACT,2016-05-26 09:35:26.0,4,2016-05-26 09:35:26.0,4,450,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:28.0
169,461,Tri Thức Việt,N/A,N/A,N/A,0,ACT,2016-05-26 09:56:59.0,4,2016-05-26 09:56:59.0,4,461,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:28.0
170,480,Trần Đình Hiến,N/A,N/A,N/A,0,ACT,2016-05-30 11:03:33.0,4,2016-05-30 11:03:33.0,4,480,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:28.0
171,446,Phạm Minh Điệp,N/A,N/A,N/A,0,ACT,2016-05-13 09:37:02.0,4,2016-05-13 09:37:02.0,4,446,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:30.0
172,453,Nguyễn Thành Nhân,N/A,N/A,N/A,0,ACT,2016-05-26 09:38:35.0,4,2016-05-26 09:38:35.0,4,453,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:30.0
173,471,Diệu Linh,N/A,N/A,N/A,0,ACT,2016-05-30 09:56:31.0,4,2016-05-30 09:56:31.0,4,471,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:30.0
174,485,Nguyễn Hồng Lê,N/A,N/A,N/A,0,ACT,2016-06-03 16:57:19.0,4,2016-06-03 16:57:19.0,4,485,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:30.0
175,458,Nguyễn Minh Sơn,N/A,N/A,N/A,0,ACT,2016-05-26 09:53:30.0,4,2016-05-26 09:53:30.0,4,458,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:32.0
176,474,Lê Bá Thự,N/A,N/A,N/A,0,ACT,2016-05-30 10:06:16.0,4,2016-05-30 10:06:16.0,4,474,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-17 08:56:00.0
177,495,Phan Thanh Huyền,N/A,N/A,N/A,0,ACT,2016-06-07 15:56:53.0,4,2016-06-07 15:56:53.0,4,495,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-17 08:56:00.0
178,489,Lâm Đặng Cam Thảo,N/A,N/A,N/A,0,ACT,2016-06-07 14:05:40.0,4,2016-06-07 14:05:40.0,4,489,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-17 08:56:00.0
179,239,Ngọc Linh,N/A,N/A,N/A,0,ACT,2016-01-29 16:42:06.0,1,2016-01-29 16:42:06.0,1,239,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-01 10:20:52.0
180,515,Thủy Hương,N/A,N/A,N/A,0,ACT,2016-06-16 16:26:22.0,4,2016-06-16 16:26:22.0,4,515,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-01 10:20:57.0
181,498,Phan Hồng Hà,N/A,N/A,N/A,0,ACT,2016-06-07 15:57:15.0,4,2016-06-07 15:57:15.0,4,498,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-01 10:20:58.0
182,518,Vũ Thanh Nhàn,N/A,N/A,N/A,0,ACT,2016-06-16 16:32:52.0,4,2016-06-16 16:32:52.0,4,518,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-01 10:20:58.0
183,512,Nguyễn Thanh Huyền,N/A,N/A,N/A,0,ACT,2016-06-16 16:15:55.0,4,2016-06-16 16:15:55.0,4,512,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-01 10:20:59.0
184,524,Rubi Thúy,N/A,N/A,N/A,0,ACT,2016-06-24 13:58:23.0,4,2016-06-24 13:58:23.0,4,524,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-22 16:10:45.0
185,519,Quỳnh Ca,N/A,N/A,N/A,0,ACT,2016-06-16 16:35:13.0,4,2016-06-16 16:35:13.0,4,519,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-22 16:10:45.0
186,525,Trần Việt Linh,N/A,N/A,N/A,0,ACT,2016-07-05 08:55:58.0,4,2016-07-05 08:55:58.0,4,525,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-25 14:32:36.0
187,546,Ngô Cẩm Ly,N/A,N/A,N/A,0,ACT,2016-07-25 12:43:37.0,4,2016-07-25 12:43:37.0,4,546,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-26 09:43:13.0
