content_category_brid.content_id,content_category_brid.category_id,content_category_brid.content_type_key,content_category_brid.content_key,content_category_brid.category_key,content_category_brid.status,content_category_brid.updated_time,content_category_brid.last_mofidied
30439,309,1,13314,1,ACT,2021-03-16 08:18:52.0,2021-03-16 11:21:14.0
30439,310,1,13314,1,ACT,2021-03-16 08:18:52.0,2021-03-16 11:21:14.0
30445,79,1,13315,100,ACT,2021-03-16 18:08:12.0,2021-03-17 11:21:14.0
30445,147,1,13315,105,ACT,2021-03-16 18:08:12.0,2021-03-17 11:21:14.0
30445,150,1,13315,46,ACT,2021-03-16 18:08:12.0,2021-03-17 11:21:14.0
30442,61,1,13319,48,ACT,2021-03-17 07:46:20.0,2021-03-17 11:21:14.0
30442,73,1,13319,101,ACT,2021-03-17 07:46:20.0,2021-03-17 11:21:14.0
30444,44,1,13318,77,ACT,2021-03-17 07:46:31.0,2021-03-17 11:21:14.0
30444,71,1,13318,41,ACT,2021-03-17 07:46:31.0,2021-03-17 11:21:14.0
30450,35,1,13321,60,ACT,2021-03-17 15:13:29.0,2021-03-17 23:21:17.0
30450,90,1,13321,73,ACT,2021-03-17 15:13:29.0,2021-03-17 23:21:17.0
30453,309,1,13320,1,ACT,2021-03-17 15:13:37.0,2021-03-17 23:21:17.0
30453,310,1,13320,1,ACT,2021-03-17 15:13:37.0,2021-03-17 23:21:17.0
30456,73,1,13334,101,ACT,2021-03-18 07:55:47.0,2021-03-18 11:21:14.0
30456,94,1,13334,93,ACT,2021-03-18 07:55:47.0,2021-03-18 11:21:14.0
30457,35,1,13335,60,ACT,2021-03-18 07:55:54.0,2021-03-18 11:21:14.0
30457,95,1,13335,89,ACT,2021-03-18 07:55:54.0,2021-03-18 11:21:14.0
30460,35,1,13328,60,ACT,2021-03-18 07:56:01.0,2021-03-18 11:21:14.0
30460,91,1,13328,43,ACT,2021-03-18 07:56:01.0,2021-03-18 11:21:14.0
30462,73,1,13330,101,ACT,2021-03-18 07:56:07.0,2021-03-18 11:21:14.0
30462,94,1,13330,93,ACT,2021-03-18 07:56:07.0,2021-03-18 11:21:14.0
30462,155,1,13330,26,ACT,2021-03-18 07:56:07.0,2021-03-18 11:21:14.0
30463,35,1,13332,60,ACT,2021-03-18 07:56:17.0,2021-03-18 11:21:14.0
30463,90,1,13332,73,ACT,2021-03-18 07:56:17.0,2021-03-18 11:21:14.0
30465,35,1,13329,60,ACT,2021-03-18 07:56:24.0,2021-03-18 11:21:14.0
