category_dim.category_key,category_dim.category_id,category_dim.category_name,category_dim.parent_key,category_dim.parent_id,category_dim.content_type_key,category_dim.ordering,category_dim.status,category_dim.created_time,category_dim.created_by,category_dim.updated_time,category_dim.updated_by,category_dim.cmc_id,category_dim.valid_from,category_dim.valid_to,category_dim.version,category_dim.current,category_dim.last_mofidied
31,29,Sports,1,0,3,0,ACT,2016-05-10 08:01:49.0,4,2016-07-06 07:57:00.0,4,29,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
32,168,Kiến thức khoa học,103,92,1,0,ACT,2016-11-28 14:53:16.0,113,2016-11-28 14:53:16.0,113,168,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-15 02:39:52.0
33,11,Comedy,1,0,3,0,DEL,2016-05-10 07:58:16.0,4,2016-07-07 11:59:13.0,66,11,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
34,37,Văn hóa - xã hội,1,0,1,17,INA,2014-09-10 16:05:03.0,1,2016-11-29 11:24:52.0,113,37,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-15 16:36:05.0
35,173,Kinh doanh tổng hợp,60,35,1,0,ACT,2016-11-28 15:22:48.0,113,2016-11-29 17:16:51.0,113,173,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
36,75,Tuổi Teen,1,0,1,0,INA,2016-02-23 08:16:56.0,4,2016-12-01 14:58:43.0,113,75,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-15 16:36:05.0
37,111,Hướng nghiệp (teen),36,75,1,0,INA,2016-02-23 08:58:55.0,4,2016-12-01 14:59:35.0,113,111,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
38,50,Ngoại ngữ,66,74,1,16,INA,2015-03-16 08:56:02.0,1,2016-12-01 15:00:36.0,113,50,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
39,36,Chính trị - Pháp luật,103,92,1,0,ACT,2014-09-10 16:04:32.0,1,2016-12-01 16:22:36.0,113,36,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
40,41,"Trinh thám, kinh dị",41,71,1,0,ACT,2014-09-10 16:07:01.0,1,2016-12-01 16:22:36.0,113,41,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
41,71,Văn học,1,0,1,6,ACT,2016-02-23 08:10:59.0,214,2022-10-09 18:13:20.0,214,71,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-13 02:41:51.0
42,141,Văn hóa - Xã hội,1,0,1,8,ACT,2016-11-28 14:31:57.0,113,2016-12-01 16:25:27.0,113,141,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-15 16:36:05.0
43,91,Quản trị - Lãnh đạo,60,35,1,0,ACT,2016-02-23 08:47:41.0,4,2016-12-01 16:28:38.0,113,91,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
44,116,Sách minh họa,47,45,1,0,ACT,2016-02-23 09:02:17.0,214,2016-12-01 16:28:38.0,214,116,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
45,146,Cổ trang,100,79,1,0,ACT,2016-11-28 14:38:44.0,113,2016-12-01 16:28:38.0,113,146,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
46,150,Trùng sinh,100,79,1,0,ACT,2016-11-28 14:40:12.0,214,2018-08-15 14:33:05.0,214,150,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2018-09-10 23:21:47.0
47,45,Thiếu nhi,1,0,1,10,ACT,2014-12-12 08:52:41.0,214,2022-10-09 18:14:04.0,214,45,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-11-04 01:29:43.0
48,61,Nghệ thuật sống,198,338,1,0,ACT,2015-03-19 14:59:05.0,1,2016-12-01 16:30:30.0,113,61,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
49,83,Giả tưởng,41,71,1,0,ACT,2016-02-23 08:43:57.0,4,2016-12-01 16:30:30.0,113,83,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
50,89,Khởi nghiệp,60,35,1,0,ACT,2016-02-23 08:47:02.0,214,2019-03-18 15:43:20.0,214,89,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-04-17 14:54:50.0
51,182,Bí quyết kinh doanh ,82,176,1,0,ACT,2017-03-02 13:28:10.0,214,2017-03-10 16:41:59.0,214,182,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
