content_publishing_house_brid.content_id,content_publishing_house_brid.publishing_house_id,content_publishing_house_brid.content_type_key,content_publishing_house_brid.status
30666,40,1,1
30666,622,1,1
30666,786,1,1
30669,12,1,1
30669,40,1,1
30670,40,1,1
30670,64,1,1
30672,40,1,1
30672,64,1,1
30673,40,1,1
30673,64,1,1
30675,40,1,1
30675,64,1,1
30676,40,1,1
30676,789,1,1
30676,790,1,1
30679,40,1,1
30679,798,1,1
30679,801,1,1
30682,40,1,1
30682,690,1,1
30682,691,1,1
30684,40,1,1
30684,765,1,1
30684,768,1,1
30687,40,1,1
30687,802,1,1
30687,805,1,1
30688,40,1,1
30688,817,1,1
30688,822,1,1
30690,40,1,1
30690,817,1,1
30690,822,1,1
30691,40,1,1
30691,709,1,1
30691,711,1,1
30694,40,1,1
30694,407,1,1
30697,40,1,1
30697,579,1,1
30697,582,1,1
30700,40,1,1
30700,175,1,1
30702,40,1,1
30702,242,1,1
30702,777,1,1
30703,40,1,1
30703,395,1,1
30705,40,1,1
30705,395,1,1
30708,40,1,1
30708,395,1,1
30711,40,1,1
30711,395,1,1
30712,40,1,1
30712,395,1,1
30714,40,1,1
30714,395,1,1
30717,40,1,1
30717,395,1,1
30718,40,1,1
30718,395,1,1
30720,40,1,1
30720,369,1,1
30721,40,1,1
30721,369,1,1
30723,40,1,1
30723,369,1,1
30726,40,1,1
30726,369,1,1
30729,40,1,1
30729,369,1,1
30732,40,1,1
30732,369,1,1
30733,40,1,1
30733,369,1,1
30736,40,1,1
30736,417,1,1
30739,40,1,1
30739,808,1,1
30739,811,1,1
30741,40,1,1
30741,387,1,1
30744,40,1,1
30744,401,1,1
30747,40,1,1
30747,216,1,1
30747,230,1,1
30748,40,1,1
30748,537,1,1
30751,40,1,1
30751,604,1,1
30751,607,1,1
30753,40,1,1
30753,624,1,1
30756,40,1,1
30756,780,1,1
30756,783,1,1
30759,40,1,1
30759,765,1,1
30759,768,1,1
30760,40,1,1
30760,762,1,1
30763,40,1,1
30763,64,1,1
30766,40,1,1
30766,64,1,1
30769,12,1,1
30769,40,1,1
30772,40,1,1
30772,622,1,1
30772,786,1,1
30774,40,1,1
30774,59,1,1
30777,40,1,1
30777,59,1,1
30778,40,1,1
30778,789,1,1
30778,790,1,1
30781,40,1,1
30781,472,1,1
30781,784,1,1
30784,40,1,1
30784,643,1,1
30784,646,1,1
30786,40,1,1
30786,59,1,1
30787,40,1,1
30787,798,1,1
30787,801,1,1
30789,40,1,1
30789,709,1,1
30789,711,1,1
30792,40,1,1
30792,690,1,1
30792,691,1,1
30795,40,1,1
30795,407,1,1
30796,40,1,1
30796,175,1,1
30799,40,1,1
30799,579,1,1
30799,582,1,1
30801,40,1,1
30801,817,1,1
30801,822,1,1
30802,40,1,1
30802,802,1,1
30802,805,1,1
30804,40,1,1
30804,64,1,1
30807,40,1,1
30807,64,1,1
30808,40,1,1
30808,64,1,1
30811,40,1,1
30811,59,1,1
30813,40,1,1
30813,59,1,1
30816,40,1,1
30816,369,1,1
30819,40,1,1
30819,369,1,1
30822,40,1,1
30822,369,1,1
30825,40,1,1
30825,369,1,1
30828,40,1,1
30828,369,1,1
30829,40,1,1
30829,369,1,1
30831,40,1,1
30831,369,1,1
30832,40,1,1
30832,417,1,1
30835,40,1,1
30835,604,1,1
30835,607,1,1
30838,40,1,1
30838,808,1,1
30838,811,1,1
30840,40,1,1
30840,64,1,1
30843,12,1,1
30843,40,1,1
30844,40,1,1
30844,59,1,1
30846,40,1,1
30846,59,1,1
30849,40,1,1
30849,387,1,1
30850,40,1,1
30850,401,1,1
30853,40,1,1
30853,216,1,1
30853,230,1,1
30855,40,1,1
30855,537,1,1
30856,40,1,1
30856,59,1,1
30859,40,1,1
30859,624,1,1
