publisher_dim.publisher_key,publisher_dim.publisher_id,publisher_dim.publisher_name,publisher_dim.publisher_addr,publisher_dim.publisher_website,publisher_dim.ordering,publisher_dim.status,publisher_dim.created_time,publisher_dim.created_by,publisher_dim.updated_time,publisher_dim.updated_by,publisher_dim.cmc_id,publisher_dim.valid_from,publisher_dim.valid_to,publisher_dim.version,publisher_dim.current,publisher_dim.last_mofidied
26,65,NXB Nam Sơn,N/A,N/A,0,ACT,2015-11-02 14:18:03.0,1,2015-11-02 14:18:03.0,1,65,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:21.0
27,71,NXB Đại Học Bách Khoa,N/A,N/A,0,ACT,2015-11-02 14:21:16.0,1,2015-11-02 14:21:16.0,1,71,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:21.0
28,82,NXB Chính Trị Quốc Gia,N/A,N/A,0,ACT,2015-11-02 14:25:26.0,1,2015-11-02 14:25:26.0,1,82,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:21.0
29,90,NXB Văn Mới (Sài Gòn),N/A,N/A,0,ACT,2015-11-02 14:33:30.0,1,2015-11-02 14:33:30.0,1,90,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:21.0
30,100,NXB Tổng hợp thành phố HCM,N/A,N/A,0,ACT,2015-11-12 14:53:59.0,1,2015-11-12 14:53:59.0,1,100,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:21.0
31,106,NXB Âm Nhạc,N/A,N/A,0,ACT,2016-02-18 16:14:53.0,113,2016-02-18 16:14:53.0,113,106,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-07-01 10:20:47.0
32,2,NXB Lao Động,N/A,N/A,0,ACT,2015-09-05 10:10:15.0,1,2015-09-05 10:10:15.0,1,2,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:13.0
33,8,NXB Văn Học,N/A,N/A,0,ACT,2015-09-17 16:33:07.0,1,2015-09-17 16:33:07.0,1,8,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
34,16,NXB Tôn Giáo,N/A,N/A,0,ACT,2015-09-18 10:10:37.0,1,2015-09-18 10:10:37.0,1,16,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
35,22,NXB Phương Đông,N/A,N/A,0,ACT,2015-09-18 16:29:31.0,1,2015-09-18 16:29:31.0,1,22,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
36,30,NXB Tri Thức,N/A,N/A,0,ACT,2015-09-23 14:51:11.0,1,2015-09-23 14:51:11.0,1,30,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
37,36,NXB Trẻ,N/A,N/A,0,ACT,2015-09-24 14:33:57.0,1,2015-09-24 14:33:57.0,1,36,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
38,42,NXB Hồng Bàng,N/A,N/A,0,ACT,2015-10-16 15:42:54.0,1,2015-10-16 15:42:54.0,1,42,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:19.0
39,47,NXB Thanh Hóa,N/A,N/A,0,ACT,2015-11-02 14:14:37.0,1,2015-11-02 14:14:37.0,1,47,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2016-06-13 09:47:20.0
